id;original;translated
86;\v0103ぁ\x0000\x0000 is looking at the machine\nin a strange manner.;{Pokemon} está mirando la máquina de forma extraña.
87;\v0103ぁ\x0000\x0000 greeted your mom!;¡{Pokemon} saludó a tu madre!
88;\v0103ぁ\x0000\x0000 is looking up at the tall\nmountain...;{Pokemon} está mirando hacia la alta montaña...
89;\v0103ぁ\x0000\x0000 is staring intently at the\nmountain.;{Pokemon} está mirando fijamente a la montaña.
90;\v0103ぁ\x0000\x0000 is looking at the mountain\nas if anticipating climbing it.;{Pokemon} está mirando la montaña como si quisiera escalarla.
91;\v0103ぁ\x0000\x0000 cried out, looking at the\ntall mountain!;¡{Pokemon} gritó mirando a la montaña!
92;\v0103ぁ\x0000\x0000 seems to have found\nsomething on the mountain!;¡{Pokemon} parece haber encontrado algo en la montaña!
93;\v0103ぁ\x0000\x0000 is staring straight at the\nPokémon League.;{Pokemon} está mirando directamente a la Liga Pokémon.
94;\v0103ぁ\x0000\x0000 seems to be having\ndifficulty moving its body!;¡{Pokemon} parece tener dificultades para mover su cuerpo!
95;\v0103ぁ\x0000\x0000 is trying very hard to\nkeep up with you...;{Pokemon} se esfuerza mucho por seguirte el ritmo...
96;\v0103ぁ\x0000\x0000 is shaking!;¡{Pokémon} está temblando!
97;\v0103ぁ\x0000\x0000 is shivering with the\neffects of being poisoned...;{Pokemon} está temblando por los efectos del envenenamiento...
98;\v0103ぁ\x0000\x0000 is playing in the puddle!;¡{Pokemon} está jugando en el charco!
99;\v0103ぁ\x0000\x0000 was surprised by its own\nreflection!;¡{Pokemon} se sorprendió con su propio reflejo!
100;\v0103ぁ\x0000\x0000 is playing in the puddle!;¡{Pokemon} está jugando en el charco!
101;\v0103ぁ\x0000\x0000 is splashing around in the\npuddle!;¡{Pokemon} está chapoteando en el charco!
102;\v0103ぁ\x0000\x0000 is staring at the\nreflection of its face.;{Pokemon} está mirando el reflejo de su rostro.
103;\v0103ぁ\x0000\x0000 is staring at the\nreflections in the water.;{Pokemon} está mirando los reflejos en el agua.
104;\v0103ぁ\x0000\x0000 seems to be very\nsurprised that it’s raining!;¡{Pokemon} parece estar muy sorprendido de que esté lloviendo!
105;\v0103ぁ\x0000\x0000 seems to be happy about\nthe rain!;¡{Pokemon} parece estar feliz por la lluvia!
106;\v0103ぁ\x0000\x0000 is very happy about the\nrain!;¡{Pokemon} está muy feliz por la lluvia!
107;\v0103ぁ\x0000\x0000 is splashing around in the\nwet grass.;{Pokemon} está chapoteando en la hierba mojada.
108;\v0103ぁ\x0000\x0000 seems happy to be all wet!;¡{Pokemon} parece feliz de estar todo mojado!
109;\v0103ぁ\x0000\x0000 is taking shelter in the\ngrass from the rain.;{Pokemon} se está refugiando de la lluvia en la hierba.
110;\v0103ぁ\x0000\x0000 doesn’t seem to like being\nall wet...;A {Pokemon} no parece gustarle estar todo mojado...
111;\v0103ぁ\x0000\x0000 is steadily observing the\nflow of the river.;{Pokemon} está observando constantemente el flujo del río.
112;\v0103ぁ\x0000\x0000 is wandering around,\nlistening to the sound of running water.;{Pokemon} está deambulando, escuchando el sonido del agua pasar.
113;\v0103ぁ\x0000\x0000 is making an unhappy\nface...;{Pokemon} está poniendo cara de tristeza...
114;\v0103ぁ\x0000\x0000 is a little scared.;{Pokemon} está un poco asustado.
115;\v0103ぁ\x0000\x0000 seems unhappy somehow...;{Pokemon} parece infeliz de alguna manera...
116;Your Pokémon seems somehow unhappy.;Tu Pokémon parece estar infeliz de alguna manera.
117;\v0103ぁ\x0000\x0000 is a little nervous...;{Pokémon} está un poco nervioso...
118;\v0103ぁ\x0000\x0000 seems to want to ride the\ntrain!;¡{Pokemon} parece querer viajar en el tren!
119;\v0103ぁ\x0000\x0000 is playing on the sand!;¡{Pokemon} está jugando en la arena!
120;\v0103ぁ\x0000\x0000 is looking at\n\v0103ぁ\x0001\x0000’s footprints.;{Pokemon} está mirando las huellas de {You}.
121;\v0103ぁ\x0000\x0000 is staring intently at the\nsurging sea.;{Pokemon} mira fijamente el mar embravecido.
122;\v0103ぁ\x0000\x0000 is listening intently to\nthe sound of the waves.;{Pokemon} está escuchando atentamente el sonido de las olas.
123;\v0103ぁ\x0000\x0000 is listening intently to\nthe sound of the waves.;{Pokemon} está escuchando atentamente el sonido de las olas.
124;\v0103ぁ\x0000\x0000 seems to be feeling better\nbecause of the sea breeze!;¡{Pokemon} parece sentirse mejor gracias a la brisa marina!
125;\v0103ぁ\x0000\x0000 is happily watching the\nwaves!;¡{Pokemon} mira feliz las olas!
126;\v0103ぁ\x0000\x0000 is wandering around,\nsurveying the area.;{Pokemon} está deambulando, inspeccionando el área.
127;\v0103ぁ\x0000\x0000 is singing happily!;¡{Pokemon} está cantando alegremente!
128;Your Pokémon seems to be\nsinging something?;¿Tu Pokémon parece estar cantando algo?
129;\v0103ぁ\x0000\x0000 seems a little relieved!;¡{Pokemon} parece un poco aliviado!
130;\v0103ぁ\x0000\x0000 seems very satisfied!;¡{Pokemon} parece muy satisfecho!
131;\v0103ぁ\x0000\x0000 is steadily keeping up\nwith you!;¡{Pokemon} te sigue el ritmo constantemente!
132;\v0103ぁ\x0000\x0000 is doing its best to keep\nup with you!;¡{Pokemon} está haciendo todo lo posible para seguirte el ritmo!
133;\v0103ぁ\x0000\x0000 seems to be feeling great\nabout walking with you!;¡{Pokemon} parece sentirse muy bien caminando contigo!
134;\v0103ぁ\x0000\x0000 is focusing its attention\non you.;{Pokemon} está centrando su atención en ti.
135;\v0103ぁ\x0000\x0000 turned to face you\nand smiled!;¡{Pokemon} se giró para mirarte y sonrió!
136;\v0103ぁ\x0000\x0000 seems to be feeling great\nabout traveling around Sinnoh!;¡{Pokemon} parece estar muy contento de viajar por Sinnoh!
137;\v0103ぁ\x0000\x0000 is saying hello!;¡{Pokemon} está saludando!
138;\v0103ぁ\x0000\x0000 is relaxing comfortably.;{Pokemon} se está relajando cómodamente.
139;\v0103ぁ\x0000\x0000 got closer to\n\v0103ぁ\x0001\x0000!;¡{Pokemon} se acercó a {Tú}!
140;\v0103ぁ\x0000\x0000 is keeping close to you.;{Pokemon} se mantiene cerca de ti.
141;\v0103ぁ\x0000\x0000 is very excited!;¡{Pokemon} está muy emocionado!
142;\v0103ぁ\x0000\x0000 is cheerful because of\nthe cold!;¡{Pokemon} está alegre por el frío!
143;\v0103ぁ\x0000\x0000 is cheering happily\nbecause of the cold!;¡{Pokemon} está animando felizmente por el frío!
144;\v0103ぁ\x0000\x0000 is touching the snow.;{Pokemon} está tocando la nieve.
145;\v0103ぁ\x0000\x0000 is gnawing at the snow.;{Pokemon} está mordiendo la nieve.
146;\v0103ぁ\x0000\x0000 seems unhappy about the\ncold...;{Pokemon} parece disgustado por el frío...
147;\v0103ぁ\x0000\x0000 made its body slightly\nsmaller because of the cold...;{Pokemon} encogió debido al frío...
148;\v0103ぁ\x0000\x0000 seems very cold!;¡{Pokemon} parece que tiene mucho frío!
149;\v0103ぁ\x0000\x0000 seems a little cold...;{Pokémon} parece que tiene un poco de frío...
150;......\nYour Pokémon seems a little cold.;...... Tu Pokémon tiene un poco de frío.
151;\v0103ぁ\x0000\x0000 is dancing and splashing\naround!;¡{Pokemon} está bailando y chapoteando!
152;\v0103ぁ\x0000\x0000 is wandering around and\nlistening to the different sounds.;{Pokemon} deambula y escucha los diferentes sonidos.
153;\v0103ぁ\x0000\x0000 is smelling the grass.;{Pokemon} está oliendo la hierba.
154;\v0103ぁ\x0000\x0000 is noticing the scent of\nthe grass.;{Pokemon} está notando el olor de la hierba.
155;\v0103ぁ\x0000\x0000 is staring at the grass.;{Pokemon} está mirando la hierba.
156;\v0103ぁ\x0000\x0000 is tripping over the tall\ngrass!;¡{Pokemon} está tropezando con la hierba alta!
157;\v0103ぁ\x0000\x0000 is playing around, plucking\nbits of grass.;{Pokemon} está jugando, arrancando pedazos de hierba.
158;\v0103ぁ\x0000\x0000 is biting at the tall\ngrass!;¡{Pokemon} está mordiendo la hierba alta!
159;\v0103ぁ\x0000\x0000 is listening to the sound\nof the waterfall.;{Pokemon} está escuchando el sonido de la cascada.
160;\v0103ぁ\x0000\x0000 seems concerned about\nthe waterfall!;¡{Pokemon} parece interesado por la cascada!
